0,0.08,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,
10,1.27116e-006,1.49459e-005,2.69416e-005,3.16559e-005,3.45441e-005,3.70882e-005,3.95528e-005,4.19541e-005,4.42687e-005,4.64588e-005,4.84798e-005,5.02849e-005,5.18308e-005,5.30797e-005,5.40051e-005,5.45943e-005,5.4849e-005,5.47854e-005,5.44302e-005,5.38196e-005,5.2997e-005,5.20096e-005,5.09047e-005,4.97266e-005,4.85153e-005,4.73064e-005,4.6129e-005,4.50048e-005,4.39498e-005,4.29759e-005,4.20913e-005,4.12998e-005,4.06016e-005,3.99958e-005,3.9481e-005,3.90542e-005,3.87108e-005,3.84459e-005,3.82546e-005,3.81313e-005,3.80696e-005,3.80628e-005,3.81045e-005,3.81893e-005,3.83123e-005,3.84697e-005,3.86579e-005,3.88739e-005,3.91148e-005,3.93778e-005,3.966e-005,
10.5,1.17776e-006,1.39613e-005,2.57482e-005,3.03227e-005,3.29979e-005,3.5314e-005,3.75615e-005,3.97688e-005,4.19187e-005,4.39781e-005,4.59071e-005,4.76634e-005,4.92074e-005,5.05044e-005,5.1529e-005,5.22677e-005,5.27195e-005,5.28958e-005,5.28165e-005,5.25097e-005,5.20096e-005,5.13534e-005,5.05787e-005,4.97203e-005,4.88103e-005,4.78774e-005,4.69456e-005,4.60333e-005,4.51548e-005,4.43218e-005,4.35433e-005,4.28245e-005,4.21676e-005,4.15745e-005,4.10467e-005,4.05842e-005,4.01852e-005,3.98472e-005,3.95677e-005,3.93433e-005,3.91698e-005,3.90422e-005,3.89562e-005,3.89075e-005,3.88921e-005,3.89069e-005,3.89487e-005,3.90149e-005,3.91033e-005,3.92113e-005,3.93366e-005,
11,1.09218e-006,1.30117e-005,2.45784e-005,2.90138e-005,3.14837e-005,3.3577e-005,3.56093e-005,3.76204e-005,3.96e-005,4.152e-005,4.33455e-005,4.50391e-005,4.6566e-005,4.78948e-005,4.9002e-005,4.98742e-005,5.05083e-005,5.09114e-005,5.10974e-005,5.10868e-005,5.09047e-005,5.05787e-005,5.01362e-005,4.96026e-005,4.90015e-005,4.8354e-005,4.76787e-005,4.699e-005,4.63001e-005,4.56203e-005,4.496e-005,4.43254e-005,4.37207e-005,4.31503e-005,4.26187e-005,4.21286e-005,4.16812e-005,4.12764e-005,4.0914e-005,4.05929e-005,4.03111e-005,4.00656e-005,3.98539e-005,3.96732e-005,3.95203e-005,3.93928e-005,3.92881e-005,3.92042e-005,3.91391e-005,3.90909e-005,3.90577e-005,
11.5,1.01326e-006,1.21074e-005,2.34433e-005,2.77447e-005,3.00228e-005,3.1906e-005,3.3732e-005,3.55524e-005,3.73633e-005,3.91419e-005,4.08585e-005,4.24809e-005,4.39791e-005,4.53257e-005,4.64997e-005,4.74881e-005,4.82866e-005,4.88988e-005,4.93334e-005,4.96036e-005,4.97266e-005,4.97203e-005,4.96026e-005,4.93896e-005,4.90957e-005,4.8735e-005,4.83197e-005,4.78601e-005,4.73659e-005,4.68475e-005,4.63143e-005,4.57736e-005,4.5231e-005,4.46933e-005,4.41677e-005,4.36598e-005,4.31731e-005,4.27102e-005,4.2273e-005,4.18629e-005,4.14799e-005,4.1123e-005,4.07916e-005,4.04842e-005,4.01988e-005,3.99335e-005,3.96865e-005,3.94562e-005,3.92412e-005,3.90401e-005,3.88515e-005,
12,9.39555e-007,1.12618e-005,2.23593e-005,2.6534e-005,2.86382e-005,3.03288e-005,3.19631e-005,3.36036e-005,3.52529e-005,3.68936e-005,3.85007e-005,4.00476e-005,4.1509e-005,4.28616e-005,4.40871e-005,4.5174e-005,4.61169e-005,4.69169e-005,4.75781e-005,4.81078e-005,4.85153e-005,4.88103e-005,4.90015e-005,4.90957e-005,4.90994e-005,4.90187e-005,4.88597e-005,4.86283e-005,4.83315e-005,4.79785e-005,4.75785e-005,4.7139e-005,4.66672e-005,4.61719e-005,4.56626e-005,4.51473e-005,4.46321e-005,4.41218e-005,4.36206e-005,4.31318e-005,4.26576e-005,4.21992e-005,4.17574e-005,4.13324e-005,4.09231e-005,4.05284e-005,4.0147e-005,3.97782e-005,3.94209e-005,3.90742e-005,3.87373e-005,
12.5,8.6894e-007,1.04877e-005,2.13436e-005,2.5401e-005,2.73515e-005,2.88702e-005,3.03311e-005,3.18067e-005,3.3306e-005,3.48161e-005,3.63172e-005,3.77877e-005,3.92069e-005,4.05557e-005,4.18188e-005,4.29862e-005,4.40522e-005,4.5016e-005,4.58781e-005,4.66406e-005,4.73064e-005,4.78774e-005,4.8354e-005,4.8735e-005,4.90187e-005,4.92039e-005,4.9291e-005,4.9281e-005,4.91783e-005,4.89905e-005,4.8726e-005,4.83929e-005,4.79989e-005,4.75548e-005,4.70719e-005,4.65605e-005,4.60286e-005,4.54831e-005,4.49304e-005,4.43756e-005,4.3823e-005,4.32754e-005,4.27356e-005,4.22051e-005,4.16838e-005,4.11714e-005,4.06672e-005,4.01711e-005,3.96827e-005,3.92015e-005,3.87273e-005,
13,8.00866e-007,9.79678e-006,2.04124e-005,2.43631e-005,2.61814e-005,2.75507e-005,2.88587e-005,3.01871e-005,3.15504e-005,3.29405e-005,3.43419e-005,3.57377e-005,3.71116e-005,3.84486e-005,3.97364e-005,4.09664e-005,4.21336e-005,4.32357e-005,4.42705e-005,4.52358e-005,4.6129e-005,4.69456e-005,4.76787e-005,4.83197e-005,4.88597e-005,4.9291e-005,4.9608e-005,4.98076e-005,4.9891e-005,4.98641e-005,4.97347e-005,4.95104e-005,4.91997e-005,4.88144e-005,4.83676e-005,4.78712e-005,4.7335e-005,4.67676e-005,4.61771e-005,4.55707e-005,4.49541e-005,4.43321e-005,4.3709e-005,4.30875e-005,4.24687e-005,4.18529e-005,4.12402e-005,4.0631e-005,4.00255e-005,3.94239e-005,3.88264e-005,
13.5,7.3491e-007,9.19772e-006,1.95794e-005,2.34347e-005,2.51424e-005,2.63851e-005,2.75614e-005,2.87614e-005,3.00045e-005,3.12866e-005,3.25963e-005,3.39209e-005,3.52483e-005,3.65669e-005,3.78674e-005,3.91431e-005,4.03896e-005,4.16038e-005,4.27817e-005,4.39177e-005,4.50048e-005,4.60333e-005,4.699e-005,4.78601e-005,4.86283e-005,4.9281e-005,4.98076e-005,5.02005e-005,5.04583e-005,5.05851e-005,5.05874e-005,5.04722e-005,5.02484e-005,4.99284e-005,4.95266e-005,4.9056e-005,4.85278e-005,4.79521e-005,4.73385e-005,4.66956e-005,4.60309e-005,4.53505e-005,4.46603e-005,4.39641e-005,4.3264e-005,4.2561e-005,4.18561e-005,4.11501e-005,4.04438e-005,3.97379e-005,3.90334e-005,
14,6.70679e-007,8.69529e-006,1.88543e-005,2.26266e-005,2.42444e-005,2.53826e-005,2.64485e-005,2.75389e-005,2.86778e-005,2.98648e-005,3.10919e-005,3.23501e-005,3.36308e-005,3.49256e-005,3.6228e-005,3.75333e-005,3.88377e-005,4.01382e-005,4.14293e-005,4.27034e-005,4.39498e-005,4.51548e-005,4.63001e-005,4.73659e-005,4.83315e-005,4.91783e-005,4.9891e-005,5.04583e-005,5.08761e-005,5.11466e-005,5.12748e-005,5.12672e-005,5.11321e-005,5.08827e-005,5.05337e-005,5.00989e-005,4.95907e-005,4.90202e-005,4.8398e-005,4.77343e-005,4.70375e-005,4.63154e-005,4.5575e-005,4.48214e-005,4.40573e-005,4.32846e-005,4.25048e-005,4.17195e-005,4.09299e-005,4.01374e-005,3.93435e-005,
14.5,6.08356e-007,8.29121e-006,1.82436e-005,2.19451e-005,2.34925e-005,2.45474e-005,2.5523e-005,2.65224e-005,2.75733e-005,2.86782e-005,2.98322e-005,3.10295e-005,3.22642e-005,3.3531e-005,3.48257e-005,3.61454e-005,3.74875e-005,3.88493e-005,4.02247e-005,4.16045e-005,4.29759e-005,4.43218e-005,4.56203e-005,4.68475e-005,4.79785e-005,4.89905e-005,4.98641e-005,5.05851e-005,5.11466e-005,5.15489e-005,5.17956e-005,5.1892e-005,5.18461e-005,5.16708e-005,5.1381e-005,5.09911e-005,5.05138e-005,4.99611e-005,4.93444e-005,4.86749e-005,4.79621e-005,4.72149e-005,4.64414e-005,4.56477e-005,4.48372e-005,4.40125e-005,4.31758e-005,4.23292e-005,4.14745e-005,4.06138e-005,3.97488e-005,
