0,0.08,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25,
30,-0.00128477,0.048122,0.0433369,0.0350408,0.0266904,0.019141,0.0131585,0.00872509,0.00557404,0.00337039,0.00182319,0.000690224,-0.000243087,-0.00117667,-0.00229343,-0.00374895,-0.00566392,-0.00811476,-0.01115,-0.0147687,-0.0189352,-0.0235848,-0.0286082,-0.0338772,-0.0392441,-0.04457,-0.0497215,-0.0545821,-0.0590449,-0.063049,-0.0665605,-0.0695457,-0.0719718,-0.0738297,-0.0751334,-0.075898,-0.0761443,-0.0759088,-0.0752306,-0.0741486,-0.0727019,-0.0709295,-0.0688704,-0.066563,-0.0640352,-0.0613059,-0.0583943,-0.0553192,-0.0520995,-0.0487542,-0.0453022,
31,0.0335742,0.136406,0.145801,0.137673,0.128847,0.120704,0.113399,0.10707,0.101723,0.0972807,0.0935499,0.0902421,0.0870111,0.0835103,0.0794166,0.0744644,0.068455,0.0613012,0.0529985,0.0436655,0.033494,0.0227412,0.0117502,0.00089694,-0.00941152,-0.0187844,-0.0268471,-0.0332807,-0.0377948,-0.040239,-0.040546,-0.0386495,-0.0344899,-0.0281799,-0.0200215,-0.0103266,0.000542852,0.0123279,0.0248674,0.0380002,0.0515656,0.0654025,0.0793499,0.0932505,0.107029,0.120694,0.134259,0.147734,0.161134,0.17447,0.187754,
32,-0.00389077,-0.0495967,-0.0837001,-0.0738138,-0.0602277,-0.0478761,-0.0383367,-0.0322235,-0.0287404,-0.026772,-0.025624,-0.0248855,-0.0243381,-0.0238878,-0.0235244,-0.0232865,-0.023244,-0.0234737,-0.0240519,-0.0250381,-0.0264762,-0.0283839,-0.0307401,-0.0334958,-0.0365617,-0.0398289,-0.0431848,-0.0465136,-0.0497026,-0.0526779,-0.0553846,-0.0577682,-0.0597754,-0.0613801,-0.0625794,-0.0633714,-0.0637562,-0.0637544,-0.0633965,-0.0627129,-0.0617342,-0.060491,-0.0590137,-0.0573321,-0.0554674,-0.053435,-0.051251,-0.048931,-0.0464908,-0.0439462,-0.0413131,
33,-0.0384622,-0.0107722,-0.0145963,-0.0182651,-0.0233323,-0.0300049,-0.0374134,-0.0449453,-0.0521005,-0.0585495,-0.0641173,-0.0687391,-0.0724308,-0.0752797,-0.0774275,-0.0790448,-0.0803213,-0.0814291,-0.0825173,-0.0836878,-0.0850013,-0.0864912,-0.088139,-0.0899092,-0.0917461,-0.0935853,-0.0953616,-0.0970102,-0.0984721,-0.0997179,-0.100723,-0.101464,-0.101917,-0.102081,-0.10196,-0.101555,-0.100867,-0.0999085,-0.0987021,-0.0972703,-0.0956359,-0.0938213,-0.0918492,-0.0897407,-0.0875054,-0.0851535,-0.0826962,-0.0801445,-0.0775096,-0.0748028,-0.072035,
34,-0.0089568,-0.0348963,-0.0675395,-0.0758456,-0.0799412,-0.0830373,-0.0854729,-0.0874074,-0.0889316,-0.0901025,-0.0909421,-0.091439,-0.091561,-0.0912695,-0.090527,-0.0893099,-0.0876195,-0.0854907,-0.0829802,-0.080167,-0.0771358,-0.073977,-0.0707798,-0.0676296,-0.0646004,-0.0617479,-0.0591205,-0.0567464,-0.0546482,-0.0528284,-0.0512738,-0.0499713,-0.0489084,-0.0480805,-0.0474847,-0.0471179,-0.046975,-0.0470442,-0.0473131,-0.0477693,-0.0484002,-0.0491936,-0.0501368,-0.0512172,-0.0524208,-0.0537365,-0.0551537,-0.0566619,-0.0582505,-0.059909,-0.0616267,
35,0.0251445,-0.0412128,-0.0403434,-0.0588441,-0.081466,-0.100977,-0.115933,-0.126352,-0.132574,-0.135005,-0.134069,-0.130197,-0.12382,-0.115337,-0.105132,-0.0935719,-0.0810178,-0.0678326,-0.0543831,-0.0410171,-0.0280668,-0.0158292,-0.00455554,0.00553034,0.0142509,0.0214684,0.0270709,0.0310249,0.0333224,0.0340316,0.0332671,0.0311439,0.0277782,0.0233167,0.0179447,0.0118493,0.00520556,-0.00188908,-0.00936701,-0.0171606,-0.0252024,-0.0334246,-0.0417598,-0.0501415,-0.058534,-0.0669356,-0.0753462,-0.0837656,-0.0921937,-0.10063,-0.109076,
36,-0.00942465,0.0342755,0.0293855,0.0218955,0.015465,0.0108768,0.00841785,0.00782574,0.00869545,0.0106441,0.013373,0.0166368,0.020226,0.0239683,0.027715,0.0313443,0.0347615,0.0378973,0.0406931,0.0431031,0.0450934,0.0466395,0.0477334,0.0483775,0.0485871,0.0483811,0.0477829,0.0468326,0.0455732,0.0440516,0.0423199,0.0404306,0.038435,0.0363772,0.0342997,0.0322453,0.0302528,0.0283338,0.0264891,0.0247194,0.0230255,0.0214081,0.0198679,0.0184059,0.0170211,0.015707,0.0144569,0.0132638,0.0121209,0.0110212,0.00995799,
37,0.026503,-0.0297551,-0.0405154,-0.0523409,-0.0714504,-0.0905792,-0.107005,-0.12014,-0.1298,-0.136036,-0.139048,-0.139139,-0.136691,-0.132092,-0.125718,-0.11792,-0.10903,-0.0993485,-0.0891676,-0.0787655,-0.0684089,-0.058346,-0.0487988,-0.0399672,-0.0320108,-0.0250483,-0.0191766,-0.0144332,-0.0108372,-0.00835351,-0.00691447,-0.00645211,-0.00689831,-0.00817219,-0.0101741,-0.0128033,-0.0159639,-0.0195927,-0.0236388,-0.0280514,-0.0327796,-0.0377725,-0.0429792,-0.0483496,-0.0538513,-0.0594723,-0.0652019,-0.071029,-0.0769429,-0.0829325,-0.088987,
38,-0.0102861,0.0261307,0.0187656,0.00386918,-0.00270976,-0.00584486,-0.00813361,-0.0102675,-0.0124057,-0.0144658,-0.0163585,-0.0180111,-0.0193725,-0.020408,-0.0210996,-0.0214366,-0.0214264,-0.021095,-0.0204726,-0.0196082,-0.0185468,-0.0173461,-0.016061,-0.0147452,-0.0134479,-0.012209,-0.0110627,-0.0100337,-0.0091466,-0.00841015,-0.00781693,-0.00735916,-0.00703037,-0.00682184,-0.00670573,-0.00665212,-0.0066325,-0.00663334,-0.00664855,-0.00667211,-0.00669796,-0.00672006,-0.00673237,-0.00672793,-0.00669928,-0.00664787,-0.00657615,-0.00648655,-0.00638154,-0.00626355,-0.00613504,
39,-0.00278793,0.00597387,0.0163585,0.0283246,0.0323818,0.0321633,0.0300704,0.0273667,0.0250014,0.0232254,0.0217254,0.0200655,0.0179551,0.0153383,0.0124025,0.00937111,0.00636218,0.00344644,0.000691724,-0.00184061,-0.00408836,-0.00600148,-0.0075371,-0.00866178,-0.00936058,-0.00963732,-0.00950396,-0.00899371,-0.00814681,-0.00701114,-0.0056362,-0.00407138,-0.00236648,-0.000568905,0.00128166,0.0031462,0.00499066,0.00680489,0.00858593,0.0103308,0.0120366,0.0137003,0.0153189,0.0168902,0.0184166,0.0199023,0.0213511,0.022767,0.0241538,0.0255153,0.0268556,
